题目,答案
"某超市研究销售纪录数据后发现，买啤酒的人很大概率也会购买尿布，这种属于数据挖掘的哪类问题？
A.关联规则发现 
B.聚类 
C.分类 
D.自然语言处理",A
"什么是KDD？
A.数据挖掘与知识发现 
B.领域知识发现 
C.文档知识发现 
D.动态知识发现",A
"将原始数据进行集成、变换、维度规约、数值规约是在以下哪个步骤的任务？
A.频繁模式挖掘 
B.分类和预测 
C.数据预处理 
D.数据流挖掘",C
"下面哪种不属于数据预处理的方法？
A.变量代换 
B.离散化 
C.聚类 
D.缺失值填充",C
"假设12个销售价格记录组已经排序如下：5， 10， 11， 13， 15， 35， 50， 55， 72， 92， 204， 215，使用如下每种方法将它们划分成四个箱。等频(等深)划分时，15在第几个箱子内？
A.第一个 
B.第二个 
C.第三个 
D.第四个",B
"下面选项中t不是s的子序列的是？
A.s=<{2，4}，{3，5，6}，{8}> t=<{2}，{3，6}，{8}>
B.s=<{2，4}，{3，5，6}，{8}> t=<{2}，{8}>
C.s=<{1，2}，{3，4}> t=<{1}，{2}>
D.s=<{2，4}，{2，4}> t=<{2}，{4}>",C
"假设12个销售价格记录组已经排序如下：5， 10， 11， 13， 15， 35， 50， 55， 72， 92， 204， 215 使用如下每种方法将它们划分成四个箱。等宽划分时(宽度为50)，15在第几个箱子内？
A.第一个 
B.第二个 
C.第三个 
D.第四个",A
"下面哪个不属于数据的属性类型？
A.标称 
B.序数 
C.区间 
D.相异",D
"检测一元正态分布中的离群点，属于异常检测中的基于哪种的离群点检测？
A.统计方法 B.邻近度 C.密度 D.聚类技术",A
"下面哪个属于定量的属性类型？
A.标称 
B.序数 
C.区间 
D.相异",C
"以下哪个算法是分类算法？
A.DBSCAN 
B.C4.5 
C.K-Mean 
D.EM",B
"一所大学内的各年级人数分别为：一年级200人，二年级160人，三年级130人，四年级110人。则年级属性的众数是？
A.一年级 
B.二年级 
C.三年级 
D.四年级",A
"下列哪个不是专门用于可视化时间空间数据的技术？
A.等高线图 
B.饼图 
C.曲面图 
D.矢量场图",B
"数据仓库是随着时间变化的，下面的描述不正确的是？
A.数据仓库随时间的变化不断增加新的数据内容 
B.捕捉到的新数据会覆盖原来的快照 
C.数据仓库随事件变化不断删去旧的数据内容 
D.数据仓库中包含大量的综合数据，这些综合数据会随着时间的变化不断地进行重新综合。",C
"用户有一种感兴趣的模式并且希望在数据集中找到相似的模式，属于数据挖掘哪一类任务？
A.根据内容检索 B.建模描述 C.预测建模 D.寻找模式和规则 ",A
"使用交互式的和可视化的技术，对数据进行探索属于数据挖掘的哪一类任务？
A.探索性数据分析 
B.建模描述 
C.预测建模 
D.寻找模式和规则",A
"以下哪种方法不属于特征选择的标准方法？
A.嵌入 
B.过滤 
C.包装 
D.抽样",D
"有关数据仓库的开发特点，不正确的描述是？
A.数据仓库开发要从数据出发 
B.数据仓库使用的需求在开发出去就要明确 
C.数据仓库的开发是一个不断循环的过程，是启发式的开发 
D.在数据仓库环境中，并不存在操作型环境中所固定的和较确切的处理流，数据仓库中数据分析和处理更灵活，且没有固定的模式",A
"当不知道数据所带标签时，可以使用哪种技术促使带同类标签的数据与带其他标签的数据相分离？                         A.分类 
B.聚类 
C.关联分析 
D.隐马尔可夫链",B
" 设X={1，2，3}是频繁项集，则可由X产生多少个关联规则？
A.4 
B.5 
C.6 
D.7",C
"简单地将数据对象集划分成不重叠的子集，使得每个数据对象恰在一个子集中，这种聚类类型称作？
A.层次聚类 
B.划分聚类 
C.非互斥聚类 
D.模糊聚类",B
"假设属性Income的最大最小值分别是12000元和98000元。利用最大最小规范化的方法将属性的值映射到0至1的范围内。对属性income的73600元将被转化为？
A.0.821 
B.1.224 
C.1.458 
D.0.716",D
"决策树中不包含一下哪种结点？
A.根结点(Root Node) 
B.内部结点(Internal Node) 
C.外部结点(External Node) 
D.叶结点(Leaf Node)",C
"以下哪项关于决策树的说法是错误的？
A.冗余属性不会对决策树的准确率造成不利的影响 
B.子树可能在决策树中重复多次 
C.决策树算法对于噪声的干扰非常敏感 
D.寻找最佳决策树是NP完全问题",C
"以下哪一个是观测值，它与其他观测值的差别如此之大，以至于怀疑它是由不同的机制产生的？
A.边界点 
B.质心 
C.离群点 
D.核心点",C
"通过数据挖掘过程所推倒出的关系和摘要经常被称为？
A.模型 
B.模式 
C.模范 
D.模具",AB
"以下哪些学科和数据挖掘有密切联系？
A.统计 
B.计算机组成原理 
C.矿产挖掘 
D.人工智能",AD
"联机分析处理包括以下哪些基本分析功能？
A.聚类 
B.切片 
C.转轴 
D.切块 
E.分类",BCD
"以下属于聚类算法的是？
A.K均值 
B.DBSCAN 
C.Apriori 
D.Jarvis-Patrick(JP)",ABD
"哪些数据特性都是对聚类分析具有很强影响的？
A.高维性
B.规模 
C.稀疏性 
D.噪声和离群点",ABCD
"以下各项均是针对数据仓库的不同说法，你认为正确的有？
A.数据仓库就是数据库
B.数据仓库是一切商业智能系统的基础
C.数据仓库是面向业务的，支持联机事务处理(OLTP)
D.数据仓库支持决策而非事务处理
E.数据仓库的主要目标就是帮助分析，做长期性的战略制定",BCDE
"Apriori算法的计算复杂度受以下哪些影响？
A.支持度阀值 
B.项数(维度)
C.事务数 
D.事务平均宽度",ABCD
"下面属于数据集的一般特性的有？
A.连续性 B.维度 C.稀疏性 D.分辨率 E.相异性",BCD
"以下都属于分裂的层次聚类算法？
A.二分K均值 B.MST C.Chameleon D.组平均",AB
"数据仓库在技术上的工作过程是？
A.数据的抽取 
B.存储和管理 
C.数据的表现 
D.数据仓库设计 
E.数据的表现",ABCD
"下面列出的条目中，哪些是数据仓库的基本特征？
A.数据仓库是面向主题的 
B.数据仓库的数据是集成的 
C.数据仓库的数据是相对稳定的 
D.数据仓库的数据是反映历史变化的 
E.数据仓库是面向事务的",ACD
"数据挖掘算法的组件包括？
A.模型或模型结构 
B.评分函数 
C.优化和搜索方法 
D.数据管理策略",ABCD
"寻找数据集中的关系是为了寻找精确、方便并且有价值地总结了数据的某一特征的表示，这个过程包括了以下哪些步骤？
A.决定要使用的表示的特征和结构 
B.决定如何量化和比较不同表示拟合数据的好坏 
C.选择一个算法过程使评分函数最优 
D.决定用什么样的数据管理原则以高效地实现算法。",ABCD
"数据挖掘的预测建模任务主要包括哪几大类问题？
A.分类 
B.回归 
C.模式发现 
D.模式匹配",AB
"对于数据挖掘中的原始数据，存在的问题有？
A.不一致 B.重复 C.不完整 D.含噪声 E.维度高 ",ABCDE
数据挖掘的主要任务是从数据中发现潜在的规则，从而能更好的完成描述数据、预测数据等任务。,对
离群点可以是合法的数据对象或者值。,对
离散属性总是具有有限个值。,错
序列数据没有时间戳。,对
定量属性可以是整数值或者是连续值。,对
数据仓库中间层OLAP服务器只能采用关系型OLAP。,错
具有较高的支持度的项集具有较高的置信度。,错
在聚类分析当中，簇内的相似性越大，簇间的差别越大，聚类的效果就越差。,错
基于邻近度的离群点检测方法不能处理具有不同密度区域的数据集。,对
如果一个对象不强属于任何簇，那么该对象是基于聚类的离群点。,对
"将原始数据进行集成、变换、维度规约、数值规约是在以下哪个步骤的任务？     
A.频繁模式挖掘 
B.分类和预测 
C.数据预处理 
D.数据流挖掘",C
"当不知道数据所带标签时，可以使用哪种技术促使带同类标签的数据与带其他标签的数据相分离？                         A.分类 
B.聚类 
C.关联分析 
D.隐马尔可夫链",B
"使用交互式的和可视化的技术，对数据进行探索属于数据挖掘的哪一类任务？     
A.探索性数据分析 
B.建模描述 
C.预测建模 
D.寻找模式和规则",A
